record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified
1,2025,Ministry of Infrastructure,PM Awas Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Water Pipeline,Vendor_1024,205446717,78702124,50748145,33506669,12382766,0.37,Ongoing,11-01-2023,22-06-2023,27-07-2023,92,2.89,Yes
2,2024,Ministry of Education,Digital India,Gujarat,Vadodara,Alkapuri,Smart City Initiative,School Building,Vendor_1010,159589470,85726604,54662161,27371011,9823869,0.359,Delayed,05-02-2023,07-06-2023,30-07-2023,57,2.58,No
3,2024,Ministry of Rural Development,PM Awas Yojana,Gujarat,Vadodara,Alkapuri,Urban Housing Scheme,Road Construction,Vendor_1097,178571458,107425518,50608899,58994748,25672183,0.435,Completed,17-10-2023,20-02-2024,31-05-2024,33,4.48,Yes
4,2023,Ministry of Health,Ayushman Bharat,Maharashtra,Nashik,Panchavati,State Road Development,Bridge Development,Vendor_1076,140739778,86662788,37885697,44655093,10866580,0.243,Completed,25-03-2023,27-05-2023,17-05-2023,125,3.46,No
5,2025,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Vadodara,Alkapuri,Urban Transport Improvement,Road Construction,Vendor_1022,219347290,113773515,73524506,70406896,43963701,0.624,Ongoing,23-08-2023,31-12-2023,16-04-2024,288,3.92,Yes
6,2025,Ministry of Education,Ayushman Bharat,Karnataka,Bangalore,Indiranagar,Urban Transport Improvement,Bridge Development,Vendor_1081,198324674,120335639,53099419,36303016,24534850,0.676,Delayed,21-12-2023,05-03-2024,09-02-2024,293,4.42,Yes
7,2024,Ministry of Health,Jal Jeevan Mission,Gujarat,Ahmedabad,Navrangpura,State Road Development,Hospital Upgrade,Vendor_1006,315527149,165116764,119365401,139836925,158366925,1.133,Ongoing,20-01-2024,14-04-2024,04-06-2024,226,2.36,No
8,2025,Ministry of Infrastructure,Jal Jeevan Mission,Gujarat,Vadodara,Alkapuri,State Road Development,Road Construction,Vendor_1097,330249467,138562465,91166036,75016967,80736568,1.076,Completed,01-01-2023,04-04-2023,19-07-2023,124,1.49,No
9,2024,Ministry of Education,Jal Jeevan Mission,Uttar Pradesh,Kanpur,Kalyanpur,State Road Development,Bridge Development,Vendor_1003,125311146,55736984,35305784,19523175,4342406,0.222,Completed,13-01-2024,03-06-2024,04-07-2024,222,1.25,Yes
10,2023,Ministry of Infrastructure,Digital India,Maharashtra,Pune,Shivajinagar,Smart City Initiative,Water Pipeline,Vendor_1061,299350358,99072557,69010760,62261914,27867223,0.448,Delayed,05-10-2023,01-02-2024,20-05-2024,96,4.57,No
