record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified,planned_duration_days,delay_days_raw,delay_days,is_delayed,central_state_gap,state_district_gap,central_state_gap_pct,state_district_gap_pct,fund_leakage,fund_leakage_pct,state_absorption_rate,district_absorption_rate,overspend,underutilized,budget_efficiency,citizen_risk,false_completion,vendor_concentration,risk_score,risk_norm,risk_label,lapse_risk,ae_recon_error,ae_anomaly,iso_anomaly,iso_score,lapse_probability,xgb_anomaly_prob,final_risk_score,final_risk_label
1,2025,Ministry of Infrastructure,PM Awas Yojana,Uttar Pradesh,Kanpur,Kalyanpur,Urban Transport Improvement,Water Pipeline,Vendor_1024,205446717,78702124,50748145,33506669,12382766,0.37,Ongoing,2023-01-11,2023-06-22,2023-07-27,92,2.89,Yes,162,35,35,1,126744593,27953979,0.6169219681422312,0.35518709761886474,154698572,0.7529863424393392,0.38307803185776873,0.6448129023811352,0,1,0.36956123570504723,0,0,0.015772870662460567,0.20236593059936908,0.17745371581298294,Low,1,0.07175820653277763,0,0,0.47294175468885874,1.0,3.913509e-05,0.2831435867353408,Low
2,2024,Ministry of Education,Digital India,Gujarat,Vadodara,Alkapuri,Smart City Initiative,School Building,Vendor_1010,159589470,85726604,54662161,27371011,9823869,0.359,Delayed,2023-02-05,2023-06-07,2023-07-30,57,2.58,No,122,53,53,1,73862866,31064443,0.46283044865052814,0.36236642477987346,104927309,0.657482658473645,0.5371695513494719,0.6376335752201265,0,1,0.3589150945136809,0,0,0.002857142857142857,0.20042857142857146,0.17518014366441398,Low,1,0.09318293822793794,0,0,0.4820937888133487,1.0,4.4945005e-05,0.2982986866721067,Low
3,2024,Ministry of Rural Development,PM Awas Yojana,Gujarat,Vadodara,Alkapuri,Urban Housing Scheme,Road Construction,Vendor_1097,178571458,107425518,50608899,58994748,25672183,0.435,Completed,2023-10-17,2024-02-20,2024-05-31,33,4.48,Yes,126,101,101,1,71145940,56816619,0.3984171983408457,0.5288931350556765,127962559,0.716590212305933,0.6015828016591542,0.4711068649443236,0,0,0.4351604824212488,0,0,0.014285714285714285,0.35214285714285715,0.35322321370496895,Medium,1,0.11078675105578284,0,0,0.4572168879118601,0.9859488338808835,4.650898e-05,0.34417025910899024,Medium
4,2023,Ministry of Health,Ayushman Bharat,Maharashtra,Nashik,Panchavati,State Road Development,Bridge Development,Vendor_1076,140739778,86662788,37885697,44655093,10866580,0.243,Completed,2023-03-25,2023-05-27,2023-05-17,125,3.46,No,63,-10,0,0,54076990,48777091,0.38423387309876245,0.5628377776168475,102854081,0.7308103114955887,0.6157661269012376,0.4371622223831525,0,1,0.24334469530720718,0,1,0.011538461538461539,0.45173076923076927,0.4700938005688347,Medium,1,0.02242180601199179,0,0,0.524310868980001,1.0,0.0022269662,0.4104203286159357,Medium
5,2025,Ministry of Health,PM Gram Sadak Yojana,Gujarat,Vadodara,Alkapuri,Urban Transport Improvement,Road Construction,Vendor_1022,219347290,113773515,73524506,70406896,43963701,0.624,Ongoing,2023-08-23,2023-12-31,2024-04-16,288,3.92,Yes,130,107,107,1,105573775,40249009,0.4813087729508762,0.353764309734124,145822784,0.6648032168530552,0.5186912270491237,0.646235690265876,0,0,0.6244232241114563,0,0,0.011428571428571429,0.3517142857142857,0.35272026717943067,Medium,0,0.03043757310526293,0,0,0.457778432286221,0.005367019804222553,0.0001380782,0.1666466539754085,Low
6,2025,Ministry of Education,Ayushman Bharat,Karnataka,Bangalore,Indiranagar,Urban Transport Improvement,Bridge Development,Vendor_1081,198324674,120335639,53099419,36303016,24534850,0.676,Delayed,2023-12-21,2024-03-05,2024-02-09,293,4.42,Yes,75,-25,0,0,77989035,67236220,0.39323919423157605,0.55873904488096,145225255,0.732260147317827,0.606760805768424,0.44126095511904,0,0,0.6758350325493617,0,0,0.018404907975460124,0.152760736196319,0.11923994207443007,Low,0,0.16298780908227814,1,0,0.46086185400751817,0.005948833880883453,5.53926e-05,0.13833888127615543,Low
7,2024,Ministry of Health,Jal Jeevan Mission,Gujarat,Ahmedabad,Navrangpura,State Road Development,Hospital Upgrade,Vendor_1006,315527149,165116764,119365401,139836925,158366925,1.133,Ongoing,2024-01-20,2024-04-14,2024-06-04,226,2.36,No,85,51,51,1,150410385,45751363,0.4766955410230008,0.27708490580641465,196161748,0.6216953077467194,0.5233044589769992,0.7229150941935854,1,0,1.1325114950861512,1,0,0.023323615160349854,0.6334985422740526,0.6834058970183893,High,0,0.033629619484948615,0,1,0.5870320332059521,0.0,0.90490377,0.48276379272593617,Medium
8,2025,Ministry of Infrastructure,Jal Jeevan Mission,Gujarat,Vadodara,Alkapuri,State Road Development,Road Construction,Vendor_1097,330249467,138562465,91166036,75016967,80736568,1.076,Completed,2023-01-01,2023-04-04,2023-07-19,124,1.49,No,93,106,106,1,191687002,47396429,0.5804309201201527,0.3420582117963909,239083431,0.7239479693089104,0.4195690798798473,0.6579417882036092,1,0,1.0762440982184738,1,1,0.014285714285714285,0.7021428571428572,0.7639628762279067,High,0,0.07294591509844987,0,0,0.5457217241835026,0.0,0.020314736,0.402552079334362,Medium
9,2024,Ministry of Education,Jal Jeevan Mission,Uttar Pradesh,Kanpur,Kalyanpur,State Road Development,Bridge Development,Vendor_1003,125311146,55736984,35305784,19523175,4342406,0.222,Completed,2024-01-13,2024-06-03,2024-07-04,222,1.25,Yes,142,31,31,1,69574162,20431200,0.5552112818439949,0.3665645058943268,90005362,0.718255038542222,0.44478871815600507,0.6334354941056731,0,1,0.22242314582541006,1,0,0.012618296529968454,0.5518927444794953,0.5876380746010993,Medium,1,0.02117850710826849,0,0,0.5221833109781837,1.0,0.0021614374,0.4492763835063248,Medium
10,2023,Ministry of Infrastructure,Digital India,Maharashtra,Pune,Shivajinagar,Smart City Initiative,Water Pipeline,Vendor_1061,299350358,99072557,69010760,62261914,27867223,0.448,Delayed,2023-10-05,2024-02-01,2024-05-20,96,4.57,No,119,109,109,1,200277801,30061797,0.6690414614436506,0.30343213004989866,230339598,0.7694649157560052,0.33095853855634944,0.6965678699501013,0,0,0.44758057068403007,0,0,0.01984126984126984,0.35297619047619044,0.3542011652824045,Medium,1,0.0878221826688027,0,0,0.4790215649844034,0.9982114939997798,0.0002084581,0.35605053326577074,Medium
