record_id,year,central_ministry,central_scheme,state,district,city,state_scheme,project_type,vendor_name,central_allocated_funds,state_received_funds,district_received_funds,project_budget,spent_amount,fund_utilization_rate,project_status,project_start_date,expected_completion,actual_completion,citizen_complaints,citizen_rating,completion_verified,planned_duration_days,delay_days_raw,delay_days,is_delayed,central_state_gap,state_district_gap,central_state_gap_pct,state_district_gap_pct,fund_leakage,fund_leakage_pct,state_absorption_rate,district_absorption_rate,overspend,underutilized,budget_efficiency,citizen_risk,false_completion,vendor_concentration,risk_score,risk_norm,risk_label,lapse_risk,ae_recon_error,ae_anomaly,iso_anomaly,iso_score,lapse_probability,xgb_anomaly_prob,final_risk_score,final_risk_label
1975,2023,Ministry of Rural Development,Jal Jeevan Mission,Tamil Nadu,Chennai,T Nagar,Urban Housing Scheme,Road Construction,Vendor_1065,106004148,73541680,44667052,19915469,5454941,0.274,Completed,2024-08-07,2025-01-20,2025-03-26,138,1.99,No,166,65,65,1,32462468,28874628,0.3062377143958555,0.3926294313646357,61337096,0.5786292060948407,0.6937622856041444,0.6073705686353643,0,1,0.2739047220027809,1,1,0.00906344410876133,0.8013595166163142,0.8803977825958523,High,1,0.1289215081069702,0,1,0.5646641647735187,0.9986462499999998,0.8668105,0.7152147170778677,High
3337,2025,Ministry of Health,Jal Jeevan Mission,Karnataka,Bangalore,Whitefield,Urban Transport Improvement,Water Pipeline,Vendor_1057,354558782,185980235,140311000,88481852,22698079,0.257,Completed,2024-05-29,2024-10-03,2025-01-24,139,1.99,No,127,113,113,1,168578547,45669235,0.4754600804105876,0.24555961551505728,214247782,0.6042659013872628,0.5245399195894124,0.7544403844849427,0,1,0.2565280731239667,1,1,0.015337423312883436,0.7823006134969326,0.8580313613521032,High,1,0.06519005390753276,0,1,0.5919013652508638,1.0,0.9286529,0.7124585862119663,High
2963,2023,Ministry of Health,PM Gram Sadak Yojana,Tamil Nadu,Chennai,T Nagar,Urban Transport Improvement,School Building,Vendor_1075,84123246,29759138,11960768,13718689,3061728,0.223,Completed,2024-01-20,2024-04-18,2024-08-11,110,1.71,No,89,115,115,1,54364108,17798370,0.6462435840861395,0.5980808315079557,72162478,0.8578185154671754,0.3537564159138605,0.40191916849204434,0,1,0.22317934315735272,1,1,0.012084592145015106,0.8018126888217523,0.880929599163642,High,1,0.07075970571834,0,1,0.5784400041462461,0.995,0.9283685,0.7104232803788484,High
1401,2025,Ministry of Rural Development,PM Awas Yojana,Gujarat,Ahmedabad,Navrangpura,Smart City Initiative,Bridge Development,Vendor_1017,375676532,231753871,184759139,166568853,39633549,0.238,Ongoing,2023-12-19,2024-02-24,2024-05-30,223,2.35,Yes,67,96,96,1,143922661,46994732,0.3831026128616413,0.20277862802127694,190917393,0.5081962186554682,0.6168973871383587,0.7972213719787231,0,1,0.237940937253137,1,0,0.008746355685131196,0.6813119533527697,0.7395169379627973,High,1,0.050936123070664016,0,1,0.6297920359477398,0.9992171461616307,0.9936724,0.7040041662119572,High
698,2024,Ministry of Health,Ayushman Bharat,Maharashtra,Nashik,Panchavati,Urban Transport Improvement,Road Construction,Vendor_1034,64839267,45184579,17205160,15558413,3283243,0.211,Completed,2023-06-06,2023-12-02,2024-01-21,12,3.56,No,179,50,50,1,19654688,27979419,0.3031293984245689,0.6192249572580947,47634107,0.7346490668995379,0.6968706015754311,0.3807750427419054,0,1,0.2110268573022197,0,1,0.011538461538461539,0.5017307692307693,0.5287708952149687,Medium,1,0.327733976692978,1,1,0.5813854950416728,0.995,0.89434147,0.6845896201860263,High
1852,2023,Ministry of Health,Digital India,Tamil Nadu,Coimbatore,RS Puram,Urban Housing Scheme,Road Construction,Vendor_1095,386863066,157569698,109570249,129991828,26005782,0.2,Completed,2024-11-26,2025-05-10,2025-08-07,12,2.5,No,165,89,89,1,229293368,47999449,0.5926990404403195,0.30462360218523743,277292817,0.7167725259148932,0.4073009595596805,0.6953763978147626,0,1,0.2000570528171971,0,1,0.017699115044247787,0.6526548672566372,0.7058866468998938,High,1,0.1251922326587012,0,1,0.5918968368370435,1.0,0.9174128,0.6810395599481681,High
2088,2023,Ministry of Health,Jal Jeevan Mission,Karnataka,Hubli,Keshwapur,Urban Housing Scheme,Water Pipeline,Vendor_1002,152538757,84515715,62116352,44827104,10352290,0.231,Completed,2023-06-06,2023-08-08,2023-11-23,294,1.12,No,63,107,107,1,68023042,22399363,0.4459394014860105,0.26503192926901226,90422405,0.5927831508421167,0.5540605985139895,0.7349680707309877,0,1,0.2309381841842828,1,1,0.008547008547008548,0.7812820512820513,0.856836035922392,High,1,0.09585433834637692,0,1,0.5826117105749246,1.0,0.5333979,0.6763794229715588,High
4138,2025,Ministry of Education,Ayushman Bharat,Tamil Nadu,Coimbatore,RS Puram,Urban Transport Improvement,Road Construction,Vendor_1007,296500077,150763247,118190047,123755636,32282364,0.261,Completed,2023-03-05,2023-05-16,2023-09-12,214,4.12,No,72,119,119,1,145736830,32573200,0.49152375093649636,0.21605530955432395,178310030,0.6013827443289331,0.5084762490635036,0.783944690445676,0,1,0.26085570761399507,0,1,0.014749262536873156,0.632212389380531,0.6818965427171381,High,1,0.16490093148723078,1,1,0.5770163026982768,0.985,0.9508625,0.6763277256868482,High
409,2023,Ministry of Health,PM Awas Yojana,Tamil Nadu,Coimbatore,RS Puram,Smart City Initiative,Water Pipeline,Vendor_1063,202515522,127204788,98701694,117537378,27775394,0.236,Delayed,2023-01-10,2023-06-01,2023-09-05,202,1.34,No,142,96,96,1,75310734,28503094,0.3718763542480462,0.22407249324608755,103813828,0.5126215856185088,0.6281236457519538,0.7759275067539124,0,1,0.23631115882132406,1,0,0.017699115044247787,0.6826548672566373,0.7410929036875742,High,1,0.08880383856142884,0,1,0.5719814672282904,0.995,0.90431017,0.6605083805157975,High
1460,2023,Ministry of Infrastructure,Jal Jeevan Mission,Maharashtra,Mumbai,Andheri,Smart City Initiative,Hospital Upgrade,Vendor_1063,140523763,44334418,13363211,9074143,2193145,0.242,Delayed,2023-06-26,2023-12-22,2024-04-19,197,1.37,No,179,119,119,1,96189345,30971207,0.6845059009699306,0.6985815625232749,127160552,0.9049042616372293,0.31549409903006936,0.3014184374767252,0,1,0.24169169474186158,1,0,0.017857142857142856,0.7026785714285715,0.7645915593848296,High,1,0.019418302719132623,0,1,0.5816706771962084,0.9986462500000001,0.9593357,0.6564396974211566,High
